filename,label
a0001.png,1
a0002.png,1
a0003.png,1
a0004.png,0
a0005.png,0
a0006.png,0
a0007.png,0
a0008.png,1
a0009.png,0
a0010.png,0
a0011.png,1
a0012.png,0
a0013.png,0
a0014.png,0
a0015.png,0
a0016.png,1
a0017.png,0
a0018.png,0
a0019.png,0
a0020.png,1
a0021.png,1
a0022.png,1
a0023.png,1
a0024.png,1
a0025.png,0
a0026.png,0
a0027.png,0
a0028.png,1
a0029.png,0
a0030.png,1
a0031.png,1
a0032.png,1
a0033.png,1
a0034.png,0
a0035.png,0
a0036.png,0
a0037.png,0
a0038.png,1
a0039.png,1
a0040.png,1
a0041.png,1
a0042.png,1
a0043.png,0
a0044.png,0
a0045.png,1
a0046.png,0
a0047.png,0
a0048.png,1
a0049.png,0
a0050.png,1
a0051.png,0
a0052.png,1
a0053.png,0
a0054.png,0
a0055.png,1
a0056.png,1
a0057.png,0
a0058.png,0
a0059.png,0
a0060.png,0
a0061.png,0
a0062.png,1
a0063.png,1
a0064.png,1
a0065.png,0
a0066.png,1
a0067.png,1
a0068.png,0
a0069.png,0
a0070.png,1
a0071.png,0
a0072.png,1
a0073.png,0
a0074.png,0
a0075.png,0
a0076.png,0
a0077.png,1
a0078.png,1
a0079.png,1
a0080.png,1
a0081.png,1
a0082.png,1
a0083.png,1
a0084.png,0
a0085.png,0
a0086.png,0
a0087.png,1
a0088.png,0
a0089.png,1
a0090.png,0
a0091.png,1
a0092.png,0
a0093.png,1
a0094.png,0
a0095.png,0
a0096.png,0
a0097.png,1
a0098.png,0
a0099.png,0
a0100.png,1
a0101.png,0
a0102.png,1
a0103.png,0
a0104.png,1
a0105.png,0
a0106.png,0
a0107.png,0
a0108.png,1
a0109.png,1
a0110.png,1
a0111.png,0
a0112.png,1
a0113.png,1
a0114.png,0
a0115.png,0
a0116.png,0
a0117.png,0
a0118.png,1
a0119.png,1
a0120.png,1
a0121.png,1
a0122.png,1
a0123.png,1
a0124.png,1
a0125.png,1
a0126.png,1
a0127.png,0
a0128.png,1
a0129.png,0
a0130.png,0
a0131.png,1
a0132.png,0
a0133.png,0
a0134.png,0
a0135.png,0
a0136.png,1
a0137.png,1
a0138.png,1
a0139.png,0
a0140.png,1
a0141.png,0
a0142.png,1
a0143.png,1
a0144.png,1
a0145.png,0
a0146.png,0
a0147.png,0
a0148.png,0
a0149.png,1
a0150.png,0
a0151.png,1
a0152.png,1
a0153.png,1
a0154.png,1
a0155.png,1
a0156.png,1
a0157.png,0
a0158.png,1
a0159.png,0
a0160.png,1
a0161.png,0
a0162.png,0
a0163.png,0
a0164.png,1
a0165.png,0
a0166.png,0
a0167.png,1
a0168.png,1
a0169.png,1
a0170.png,0
a0171.png,0
a0172.png,0
a0173.png,0
a0174.png,0
a0175.png,1
a0176.png,0
a0177.png,0
a0178.png,0
a0179.png,1
a0180.png,1
a0181.png,1
a0182.png,1
a0183.png,0
a0184.png,0
a0185.png,1
a0186.png,1
a0187.png,0
a0188.png,0
a0189.png,0
a0190.png,0
a0191.png,0
a0192.png,0
a0193.png,1
a0194.png,0
a0195.png,0
a0196.png,1
a0197.png,1
a0198.png,1
a0199.png,0
a0200.png,0
a0201.png,0
a0202.png,1
a0203.png,0
a0204.png,1
a0205.png,1
a0206.png,0
a0207.png,0
a0208.png,1
a0209.png,1
a0210.png,1
a0211.png,1
a0212.png,1
a0213.png,1
a0214.png,1
a0215.png,1
a0216.png,1
a0217.png,0
a0218.png,0
a0219.png,1
a0220.png,1
a0221.png,1
a0222.png,0
a0223.png,1
a0224.png,1
a0225.png,1
a0226.png,1
a0227.png,0
a0228.png,1
a0229.png,1
a0230.png,0
a0231.png,0
a0232.png,0
a0233.png,0
a0234.png,0
